Date,US dollar (USD),Euro (EUR),Japanese yen (JPY),Pound sterling (GBP),Canadian dollar (CAD),Swiss franc (CHF),Indian rupee (INR),Chinese renmimbi (CNY),Turkish lira (TRY),Saudi riyal (SAR),Indonesian rupiah (IDR),UAE dirham (AED),Thai baht THB),Vietnamese dong (VND),Egyptian pound (EGP),Korean won (KRW),Russian ruble (RUB),South African rand (ZAR),Australian dollar (AUD)
Q1 1979,240.1,148.04,50274.29,116.22,278.16,406.2,1940.16,0.0,0.0,796.73,148844.15,910.39,4812.88,0.0,0.0,116123.63,0.0,202.37,214.55
Q2 1979,277.5,169.03,60161.4,127.29,322.55,457.71,2190.55,0.0,0.0,923.02,166854.38,1049.81,5477.29,0.0,0.0,133065.59,0.0,232.34,245.46
Q3 1979,397.25,233.23,89088.49,180.36,460.72,616.45,3190.26,0.0,0.0,1306.81,242994.79,1474.44,7894.94,0.0,0.0,191720.57,0.0,327.15,351.67
Q4 1979,512.0,299.12,125630.27,230.63,611.81,835.57,4189.64,0.0,0.0,1749.03,324101.29,2055.87,10645.23,0.0,0.0,253615.89,0.0,434.07,474.31
Q1 1980,494.5,321.56,125800.01,228.51,599.47,931.87,4155.35,0.0,0.0,1683.53,316964.84,1890.49,10312.81,0.0,0.0,294925.42,0.0,407.51,465.18
Q2 1980,653.5,392.72,145558.85,277.32,762.44,1078.86,5150.43,0.0,0.0,2204.12,414677.55,2451.52,13466.47,0.0,0.0,399487.41,0.0,509.77,573.38
Q3 1980,666.75,412.83,141296.4,279.27,783.94,1107.64,5211.3,0.0,0.0,2225.38,419188.68,2472.34,13638.53,0.0,0.0,418750.0,0.0,504.78,572.06
Q4 1980,589.75,392.41,119823.1,246.65,703.65,1047.84,4620.33,0.0,0.0,1960.07,367506.77,2149.91,12026.69,0.0,0.0,389010.82,0.0,439.1,499.39
Q1 1981,513.75,375.1,108590.32,228.89,609.5,988.54,4240.49,0.0,0.0,1722.78,319803.05,1880.86,10481.03,0.0,0.0,345953.61,0.0,410.76,440.09
Q2 1981,426.0,353.4,95631.79,220.67,505.78,862.43,3703.76,0.0,0.0,1447.58,267801.73,1565.48,8820.83,0.0,0.0,288769.59,0.0,373.58,366.7
Q3 1981,428.75,349.87,99122.94,237.53,514.4,842.37,3870.4,0.0,0.0,1450.81,263485.05,1533.51,9593.3,0.0,0.0,292365.87,0.0,407.23,372.63
Q4 1981,397.5,327.48,87899.49,208.22,475.33,719.75,3625.14,0.0,0.0,1372.45,249492.07,1456.26,9089.58,0.0,0.0,280200.1,0.0,383.13,354.95
Q1 1982,320.0,285.71,79495.53,179.57,394.06,619.6,2987.61,0.0,0.0,1091.71,207452.75,1178.04,7365.03,0.0,0.0,230215.05,0.0,338.04,305.66
Q2 1982,317.5,301.04,79918.28,182.1,404.05,656.91,2971.91,0.0,0.0,1080.49,202249.53,1131.01,7086.83,0.0,0.0,232610.87,0.0,354.93,306.44
Q3 1982,397.0,383.37,105866.82,234.29,487.52,857.18,3824.8,0.0,0.0,1356.54,265365.85,1455.81,9060.98,0.0,0.0,293222.63,0.0,456.19,415.73
Q4 1982,456.9,429.9,105366.41,282.47,551.23,899.77,4320.02,0.0,0.08,1543.06,310012.88,1642.33,10239.95,0.0,0.0,335836.82,0.0,482.61,456.82
Q1 1983,414.75,410.93,98978.04,279.58,510.67,863.44,4104.31,0.0,0.08,1427.36,285570.45,1489.56,9437.11,0.0,0.0,316200.07,0.0,453.93,477.02
Q2 1983,416.0,431.65,99204.56,271.9,513.25,872.89,4183.61,0.0,0.09,1433.26,410375.4,1545.33,9614.06,0.0,0.0,323650.86,0.0,456.87,476.07
Q3 1983,405.0,440.9,95265.27,270.54,497.78,857.52,4123.34,0.0,0.1,1404.22,399655.34,1489.97,9310.63,0.0,0.0,318877.11,0.0,445.63,450.15
Q4 1983,382.4,432.0,88442.82,263.45,474.54,831.86,3995.04,0.0,0.11,1334.4,380175.33,1368.83,8699.72,0.0,0.0,303482.93,0.0,466.42,424.34
