Text,Review-Activity,Season
"go to the beach, hiking and go on vacation",ACTIVITY,SUMMER
Spending time with my grandkids in our pool.  Reading books in my swing under the Pecan tree.  Going on vacation to New Mexico to my sister's for two week.,ACTIVITY,SUMMER
Painting  Traveling   Video game,ACTIVITY,WINTER
"Newer isn't always better: If you have ever played the earlier version of life please do yourself a favor and avoid this ""new"" version like the blak plague. My friends and I used to play the old version every single day up to late hours. Once we learned the new version was out we ran and bought it. WHAT A DISAPOINTMENT!!!! Compared to the old version this one is HORRIBLE. It isn't fun. The new rules [are not good]. You can not bet anymore. Money isn't the way it used to be (what's with the litte pieces of carton?) Maybe if someone at MB reads this they will go back to the basics and bring back what was once a great and fun family game to play. Lucky for us we still have, and play with, our old and much better version of Life.",REVIEW,NOT APPLICABLE
"Worst of Disney: I just saw it tonight at a local dollar theater. It was awful, painful to sit through. And I actually like Adam Sandler in other movies such as Don't Mess with the Zohan.",REVIEW,NOT APPLICABLE
"Have never seen a worse movie.: Mick LaSalle of the San Francisco must be related to Kornbluth...as well as anyone who writes a positive review about this film. Instead of a ""winning comedy"" (as Lasalle leads the unassuming consumer to believe), Haiku Tunnel comes through with the worst plot line, acting, gimmicks and comedic attempts to ever be put on film. Kornbluth, looking eerily like the Principal from Billy Madison by the way, has just made the day of anyone that has had anything with the movie ""Ishtar"". We now have a new heir to the thrown of the title ""Worst Movie Of All Time"". Do not waste your time...",REVIEW,NOT APPLICABLE
"Going south, having fun and sleeping",ACTIVITY,FALL
Pumpkin Patches   Walking through parks   Drinking seasonal beverages,ACTIVITY,FALL
Wood burning in the fireplace.  Christmas.  New Year's Eve.,ACTIVITY,WINTER
Camping  Sleeping   Snow fights,ACTIVITY,WINTER
Sledding.    Drinking hot cocoa.    Spending time with my family.,ACTIVITY,WINTER
"wish I'd read it when I was younger: The best part, in my opinion, is about school system and kids stuck in there. Parents, get this book for your kids - if they are 14 or something, and smart, and already feel the pain, this will really help them a lot.",REVIEW,NOT APPLICABLE
Illogical!!: A particularly illogical piece of CAD software! In my opinion a fundamentally flawed program which will do nothing other than waste your time!,REVIEW,NOT APPLICABLE
"I smell fish...: Jack Lemmon and Walter Matthau make a dynamic duo, hilarious to watch as the feed off each other perfectly. In this popular comedy they do so to the nth degree as John & Max, two bachelors fighting over the same woman. That woman is the eccentric and interesting Ariel (Ann-Margret) who just moved into their Minnesota neighborhood snowmobile in toe. She almost immediately takes a liking to John (Lemon) who is smitten with her, but as his age long feud with Max (Matthau) heats up he is almost driven away from the idea of romance, leaving Max to swoop in and try his turn with Ariel. The film flows wonderfully and packs enough hilarious scenes to justify watch after watch. Like Martin & Lewis, Lemon and Matthau work wonders together!",REVIEW,NOT APPLICABLE
"Restored my faith in rock music: In the mid 80s I lost interest in rock music - it all seemed derivative and boring. It was then that I discovered jazz and I didn't buy a rock album for 15 years. A couple of years ago I heard jazz pianist Brad Mehldau play Radiohead covers (Exit Theme and Paranoid Android)so I bought OK Computer. What a revelation! OK -I can do without the teenage angst lyrics, but the music is wonderful. Now I've come back I hope some Radiohead listeners give Brad Mehldau a try.",REVIEW,NOT APPLICABLE
1.Ice Skating  2.Hockey  3.disney on ice,ACTIVITY,WINTER
"great peoms for teens: The peoms were very moving to those who understand peoms very well. for the self confidence people the poem ""Phenomenal Woman"" is a great poem. others like ""Anno Wrek Sick"" and ""Don't Ever slap me again, are just some of my favorites. I would reccomend this book to girls 11 and up",REVIEW,NOT APPLICABLE
Enjoyable: I enjoyed reading Conrad Hilton's fascinating story and experiences in his own words. Some great life lessons for anyone running a business or building an empire.,REVIEW,NOT APPLICABLE
swimming in the ocean,ACTIVITY,SUMMER
Handing out halloween candy  travelling  knitting,ACTIVITY,FALL
Avatar Rocks!: My family and I have been following Aang and his friends since the beginning. We have all the DVDs. We love Avatar! This DVD is our favorite! We've watched it - and thoroughly enjoyed it - six times in three days! Especially since Nick has stopped playing Avatar on TV. It is so cool to see the never seen episodes on this DVD. We can't wait for the next DVD to be released!,REVIEW,NOT APPLICABLE
"Reading books by the fireplace, getting more organized around the house, and drinking hot tea or cocoa",ACTIVITY,WINTER
"beach, day drinking, travel",ACTIVITY,SUMMER
Fishing  Golf  Hiking,ACTIVITY,SUMMER
Fishing swimming baseball,ACTIVITY,SUMMER
