UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
5655,50607,"Ohio, USA",17-03-2020,"Guess?, Inc. Provides COVID-19 Business Update - https://t.co/XvaNRd1Qxu ANGELES--(BUSINESS WIRE)--Guess?, Inc. (NYSE: GES) announced today that, after careful consideration for its customers, store associates and communities, it will temporarily close all of its retail stores... https://t.co/TiHPo6dkOl",Positive
7718,52670,"Olney, England",18-03-2020,"So much panic-bought food fresh food will never be eaten. Thrown out because past its best, and those that needed it never had a chance. #ThinkBeforeYouBuy #COVID2019",Positive
32455,77407,lahore pakistan,04-04-2020,Instead of giving financial aid that is close to NOTHING. why don't you remove the taxes and cut down the prices of the utility goods? #COVID2019 #lockdown @ImranKhanPTI,Positive
24302,69254,Florida,25-03-2020,"WAIT A DAMN MINUTE

so Amazon workers tested positive for COVID-19 in 8 warehouses so far...

the virus has shown to survive on surfaces for 48-72 hours...

everyone is shopping online now...

Amazon Prime items arrive to customers in 48 hours...

y'all seeing what I'M seeing?!? https://t.co/J0UyaopMEq",Positive
30973,75925,"Stoneleigh Park, Warwickshire",03-04-2020,Pig prices were up this week at 163 39p kg amp the supply chain is coping well with esp considering the shift in demand away from into supermarkets Other gd news is that ports are opening in China So let s keep a positive outlook as we,Extremely Positive
21436,66388,,23-03-2020,"Because I work in a supermarket IÂm seen as a ÂKey WorkerÂ , my egos not been this big since I got picked to do heads down thumbs up in primary school #coronavirus #lockdownuk #LockdownNow",Neutral
10763,55715,Midrand,19-03-2020,#Coronavirus Â Phaahla describes the increase the number of people infected by #Covid19 in South Africa as worrying.,Negative
7723,52675,India,18-03-2020,"To contain the coronavirus infection in India, the Northern Railway announced a 400 per cent hike in prices of platform tickets. 
#Coronavirus #Covid2019India

https://t.co/QY9CXJHTDy",Neutral
38678,83630,South Florida,08-04-2020,Need toilet paper? Then have we got the restaurant takeout for you. https://t.co/2qdtMOwT8L,Neutral
12617,57569,CH - MX - DE - UAE - ASIA,20-03-2020,Thailand Post has cut postal fee to a flat rate of 19 Baht to encourage people to shop for consumer products online instead of going out  Thailand Post offers concessional rate to promote more online shopping amid Covid 19 threat,Positive
41470,86422,In ma jeep ,10-04-2020,COVID 19 is really making me wanna drop all my money on online shopping,Negative
29862,74814,"Richmond, VA",01-04-2020,"In Richmond, local boutiques and thrift stores are searching for new ways to serve customers and keep their businesses running. 
https://t.co/nMHIJkcbsz",Neutral
22787,67739,Planet Earth,24-03-2020,Compassion and Humanity are our most potent weapons against A Muslim couple in is delivering coronavirus kits to the vulnerable amp those in need This is the opposite of hoarding and raising prices 19 More please,Positive
26978,71930,,25-03-2020,"Our Government?? should provide free electricity, no taxes on all products, reduce prices of petrol / diesel during lockdown period.

.
#coronavirus #CoronavirusOutbreak #21daysLockdown #21days #Covid19Out",Positive
23073,68025,"Cape Town, South Africa",24-03-2020,"There is enough food to feed the nation, says AgriSA amid Covid-19 panic buying 

by @MwangiGithahu

As consumers stockpile in fear amid the Covid-19 pandemic, AgriSA has said Âthere is enough food to feed the nationÂ AgriSA has said.

https://t.co/eDvL8hTEcL",Extremely Negative
17169,62121,Manchester,21-03-2020,"@Tomfurness2 @LatoLiveTweets @ianrobo1 BTW the Govt isn't ruling out rationing as Minister George Eustace wouldn't say no to it at that presser just then
Lots of Supermarket shelves are empty for days now
 Â£1billion worth of extra food in people's ho",Negative
5225,50177," London, UK",17-03-2020,"? In response to #COVID-19

The BCLA has issued two fact sheets, one for Eye Care Practitioners (ECPs) and the other for Consumers.

Link symbol Access them here: https://t.co/qHkCRyrIjN via @_BCLA https://t.co/97Cb2Opgkk",Positive
44625,89577,"Orange County, CA",13-04-2020,"Shopping online?  while #StayingAtHome and practicing #socialdistancing ? You can support HomeAid OC by shopping online on Amazon Smile and selecting us as your choice charity! This will help us to continue our work during these uncertain times. 

#COVID19 #Pandemic #HomeAidOC https://t.co/BF6cK33ppL",Extremely Positive
16754,61706,,21-03-2020,I hate when I go to the store to see food and toilet paper gone off the shelves people need to stop panic buying because it really got out a hand @JoshuaRush #Covid_19 #CoronavirusPandemic #coronavirus,Extremely Negative
30180,75132,Belfast,02-04-2020,Online shopping has a pivotal role to play during the COVID-19 pandemic. The balance between Essential vs Non-Essential in online shopping and eCommerce is  an increasingly important area. https://t.co/Gl3qWfC6Hj #ecommerce #essential #selfcare #digitalmarketing,Positive
5477,50429,,17-03-2020,This is happening in my local garage and itÂs an absolute piss take! ?? wonÂt be buying petrol from #BP ever again. #bpgarage #stockpiling #localcommunity #coronavirus #covid19UK #toiletroll #toiletrollcrisis #StopPanicBuying https://t.co/dXbOq14I1Q,Positive
37700,82652,,08-04-2020,"Healthy, fit 30 yr old hit hard w #Covid19 while keeping a 6ft distance with someone who recovered!! This is scary! #StayHome #PhysicalDistancing of MORE THAN 6ft required! Wear a mask if going to the grocery store, for walk, etc. #COVID19Ontario https://t.co/am9X3DrZ40",Positive
14282,59234,"Here, There, and Everywhere",20-03-2020,"https://t.co/qMrvXCc7PK #inflation #economy #Covid_19 ""Should the oil price war intensify and COVID-19 lead to a downturn in the economy in the middle of the year, there is a good chance that inflation will be negative for a period of time this year, and perhaps for all of 2020,",Negative
42283,87235,Tanzania,11-04-2020,"Wash your hands and use sanitizer after touching anything or before entering your house to break the chain of Corona Virus.

#Hospitality #HealthTips #CoronaVirusAwarenessProgramme #CoronaVirus  #COVID-19 #SeracAdventures https://t.co/in0mjl7zK2",Neutral
9119,54071,in a bedrock box with 99 kids,18-03-2020,"@AbiiWasTaken cri- also I hope ur safe :DDD
the food stock at my house getting low tho

my blood type is A

so if I go out even for a second, I get covid 19 coronavirus",Positive
26187,71139,"Donegal, Ireland",25-03-2020,Final inspection of Protective Screens before fitting in city supermarket. Protecting #staff against #coronavirus #CoronavirusLockdown https://t.co/ViUmKznT8o,Neutral
42084,87036,New Jersey,11-04-2020,@GovMurphy announces new EO https://t.co/MFESfoscAV,Neutral
25380,70332,Montreal-Canada,25-03-2020,"It is not surprising that in this pandemic of #coronavirus disease situation more and more people turned to shop online. Thus, the COVID-19 virus can stimulate #ecommerce, as consumers avoid visiting places like shops, malls, and shopping centers... https://t.co/KlPQ09tl43 https://t.co/jKvbONYpX0",Positive
16018,60970,,21-03-2020,"If youÂre working in a grocery store during this pandemic, this is how you feel.
 #CoronavirusPandemic #coronavirus #grocerystore #Covid_19 #tiktok #mood https://t.co/669HEORhDT",Neutral
6943,51895,"Atlanta, GA",18-03-2020,Restaurants NO Play dates NO Social visits NO Grocery Store Avoid peak hours minimize visits order online if possible Family time YES,Extremely Negative
36006,80958,Canada ???,07-04-2020,"? Join me on a beautiful drive I took up the Niagara Escarpment! Yes the grocery store is at the top lol ??? #OntarioSpirit #COVID19Ontario #COVID19toronto #CanadaCovid19 #SocialDistancingNow #naturelovers #coronavirus #Canada #Ontario Music: ??
URL: https://t.co/pl09nY5PTb https://t.co/GZPgnMOOSj",Extremely Positive
4372,49324,,16-03-2020,Malaysia Lock down | Covid-19 | Supermarket Finish Stock | Panic Buy https://t.co/cCxJ7o8Kyx via @YouTube,Negative
5377,50329,earth ?,17-03-2020,"FYI : BANKS ARE ALL OPEN ???? we are exempted for those who r suspended we are in line with the public health workers, groceries, supermarket and other public health officials who will serve those who is in need. Thank you

#COVID19PH #Covid_19 #frontlinersPH #QuarantineLife https://t.co/ilEHDYsf4W",Positive
7651,52603,,18-03-2020,LA Mayor Eric Garcetti Grocery store workers health care workers and first responders are the heroes of this crisis he says,Positive
9029,53981,,18-03-2020,Sainsbury's limits sales of all food items amid stockpiling. Great move @sainsburys! Think 21? Think 70! #COVID19 #covid19UK #coronavirus #rationing #StopPanicBuying https://t.co/advwaVISKM,Extremely Positive
26316,71268,"Paris, France",25-03-2020,This crisis reducing carbon emissions isnÂt as straightforward as we think. This article looks at it from a couple of different angles (including the drop in oil prices). https://t.co/woFIwpFjCR?,Extremely Negative
31364,76316,"New York, NY",03-04-2020,"Demand for online groceries has surged during the COVID-19 pandemic, and Walmart is a clear winner so far. Walmart Grocery became the number one most downloaded app in the Shopping category on the iPhone App Store. https://t.co/msMnumXDev",Extremely Positive
28677,73629,With Nature In Cumbria,27-03-2020,"I've been wiping down every item of food I bring into my house since beginning of March ? 
Use anti-bac wipes Or some spray &amp; a bit of kitchen towel. Clean surfaces when finished and.... #WashYourHands 

Food #Terrorism - Jail the sicko
#coronavirus

-https://t.co/i3mrai6I70",Positive
17019,61971,"Cork, Ireland",21-03-2020,"We are delighted to see the news shared by @MandateTU regarding bonus payments for Tesco staff. Thousands of supermarket workers across the country are at the front line serving our communities during this #Covid_19 outbreak, it's just fair to have their efforts recognised. ???? https://t.co/U6Tgw1Y3Vj",Extremely Positive
31075,76027,"Iran , uni. honar haye tazini.",03-04-2020,Even during people must venture outside for essential goods This supermarket in Yazd helpfully drew equidistant circles to help facilitate safe distances to avoid spreading virus Simple yet inventive measure to help keep ppl safe,Extremely Positive
5659,50611,,17-03-2020,"@realDonaldTrump Rather than give billions in bailouts to corporations to compensate them for product consumers did NOT buy, use that $$ to bail out the consumer to encourage sales of product they WILL buy.  After all, its consumers who drive markets, not",Positive
16483,61435,Warwickshire,21-03-2020,"Now is a time to access your consumption. When you have no option to go out and do a supermarket shop for everything &amp; the extras, I hope you think about what you actually consume, what you waste and what luxury items you don't really need #Covid_19 #perspectives #rethink #eco",Negative
36169,81121,"Bellevue, WA",07-04-2020,"#stocks to buy during the #CoronaCrisis -  
#Shares of this rapidly growing quality #Retail, #Medical &amp; packaging companies  at low prices while the #USeconomy is shut down - TJX Cos, Medtronic PLC, Ball Corp. 
#TJX current reports at https://t.co/BNUZk8rTYE 
Image: InvestorPlace https://t.co/FhpB1FLDBE",Negative
29431,74383,"Atlanta, GA",01-04-2020,Want to get your Coronavirus relief check? Scammers do too. https://t.co/Y3MfEG1uh7 #coronavirus #covid19,Positive
33773,78725,"Adelaide, South Australia",06-04-2020,So you've bought something online Â but will coronavirus stop it from being delivered? https://t.co/Tcye9fQ9dO,Negative
