text,type
@ACNI2012 @TheToka920 Never knew having 1 or 2 followers had anything to do with reality...Malinga has never been s… https://t.co/SSmLS18O4k,sports
"MYCA Magical Moments:

September, 2011: Sham Chotoo of the Bowie Boys and Girls Club joins Maryland Youth Cricket a… https://t.co/zpbqXvK21S",sports
"The current state of last year's @BBL finalists - 
@StarsBBL - P10 - W9 L1
@RenegadesBBL - P10 - W1 L9 

😲🙃😵😵😵 #Cricket #BBL09",sports
@HOLLYJISOO Why did you bring a cricket...,sports
"Babar Azam only Pakistani included in the ICC ODI team of the year. If we had more test like other nations, Babar s… https://t.co/uRHi87uEsf",sports
"RT @IExpressSports: #INDvAUS 

Rishabh Pant was ruled out of India’s second ODI against Australia as the young wicket-keeper batsman has no…",sports
"RT @ThinkBoiseFirst: @BoiseFryCo &amp; Idaho company Orchestra Provisions team up on new fry combo with ""cricket"" seasonings. https://t.co/GXrt…",sports
RT @GabbbarSingh: I'm surprised a lot of people haven't seen the greatest documentary ever made about Cricket. Please undo this and watch '…,sports
RT @BCCI: The ICC ODI Cricketer of the Year award goes to none other than the HITMAN for his stupendous show with 5 centuries in the ICC Cr…,sports
"RT @WajidAfridi551: #1YearOfTeamISF 
Imran Khan played cricket in Pakistan and the United Kingdom in his teens and continued playing while…",sports
"RT @WajidAfridi551: #1YearOfTeamISF
There were several accomplished cricket players in his family, including two elder cousins, Javed Burki…",sports
@daniel86cricket @OfficialSLC i think bcci has forced sl cricket board to create a easy team to win...what did you say  😂😂😂😂😂?,sports
"We all know about the Babar Azam cover drive

Let me introduce you to the Saif Badar cover drive which is just as g… https://t.co/3OwV14dhCd",sports
"RT @JayasreeVijayan: ‘No NRC, no NPR, no CAA’: Protests reach Wankhede during India-Australia clash!
25 college students from the city, inc…",sports
"RT @ians_india: #India skipper #ViratKohli is surprised to have won the #ICC Spirit of #Cricket Award for 2019 on Wednesday, as for many ye…",sports
"RT @catturd2: Any word from Bernie Sanders about his violent, fascist high-ranking campaign worker who was caught on tape threatening to bu…",sports
IND v AUS: Concussed Pant ruled out of 2nd ODI https://t.co/2ojFbm4tu9,sports
"RT @SampathStats: Most runs by a player in Twenty20 cricket:

13296 - CHRIS GAYLE
9972 - CHRIS GAYLE's boundary runs
9935 - Kieron Pollard…",sports
"RT @StarSportsIndia: This is Virat
Virat is a great batsman
Virat respects the opposition
Be like Virat!

Here's to the #TeamIndia captain…",sports
"RT @JMehta65: Good..Before World Series Championship, there was no day and night cricket..
For day and night cricket, electricity is consum…",sports
"RT @ICC: Five World Cup centuries is a special effort!

Listen to @ImRo45 talk about his 2019 in ODI cricket.

#ICCAwards https://t.co/MCFD…",sports
"RT @ICC: A lovely moment in a special year of cricket.

@imVkohli discusses the importance of playing cricket in the right way 👏 

#ICCAwar…",sports
"@Nandlal91485211 Hey, we have checked with our sources and wish to inform you that points awarded to Tanzid Hasan a… https://t.co/XJd1RsJJhW",sports
"RT @cricketcomau: That's it! Australia have recorded their biggest win over India EVER! Incredible performance

SCORES: https://t.co/J8WD0g…",sports
"RT @KKRiders: They roar, they smile, they celebrate 🦁🙂🙌

The process is called learning and our #JuniorKnights are doing an exceptional job…",sports
"RT @CricketFanatik: Star #Indian cricketers #ViratKohli and #RohitSharma have won big at the #ICCAwards for the year 2019, which were annou…",sports
@zimrobbie @Lewinzoe @ryanburl3 @ZimCricketv @Legslipp this is why I do not follow Zim cricket.,sports
"RT @azpilikante: @cricketcomau  this is very big negligence by Cricket Australia, @ScorchersBBL are playing with 3 international players, i…",sports
"Test team of the year 2019!
#ICC #Cricket https://t.co/ySe9mcXGW7",sports
"Headache for the BCCI: How climate change is shrinking cricket season 

https://t.co/CW9VX6ppif via @IndianExpress",sports
Not me but the thugs in second form used to play a serious cricket. So these guys decided we’re going to play befor… https://t.co/drFKuuRZoH,sports
RT @RajatSharmaLive: Congratulation Virat Kohli @imVkohli on winning 2019 Spirit Of Cricket award from @ICC We are all proud of you. #ICCAw…,sports
"Most runs by a player in Twenty20 cricket:

13296 - CHRIS GAYLE
9972 - CHRIS GAYLE's boundary runs
9935 - Kieron Po… https://t.co/ZE1FkmgypP",sports
"RT @HTSportsNews: #INDvAUS | Thoughts on this hairstyle, @imVkohli? 

https://t.co/KeQttktU3m",sports
"RT @ManiTweets14: ICC Test Player oF the Year :

2004 R Dravid
05 J Kallis
06 R Ponting
07 M YousuF
08 D Steyn
09 G Ghambir
2010 V Sehwag
1…",sports
RT @lupingcayisa: Those who have qualms with us posting our bundles of joy better brace themselves for THE FESTIVAL OF FIRSTS.We’ll post pi…,sports
"Attention goiz 😍
Follow him 😘
@shalmeen24 🥰
Nice tweets💕
Cricket fan💞
Lip tweets💖",sports
"RT @ManiTweets14: #MarcusStoinis 🔥

#BBL2018/19 :
Mat 13
Runs 533
Avg 53.30
SR 130.63
#BBL2019/20 :
Mat 10
Runs 517
Avg 86.16
SR 133.93

M…",sports
"RT @CricketUganda: BREAKING NEWS! 

Stephen Tikolo will not be renewing his contract as Head Coach of the Cricket Cranes.

We wish Stephen…",sports
Kyle Coetzer: Scotland skipper named ICC associate player of year https://t.co/897tFDIsmJ,sports
RT @ESPNcricinfo: Indian skipper Virat Kohli wins the Spirit of Cricket award for asking fans to not boo Steven Smith at The Oval during #C…,sports
"RT @CricAnkit_7: Wow wow wow . This is how you can make test cricket visually appealing , How on earth any 12 -13 year old is not going to…",sports
"Good News 
Multan Cricket Stadium renovation work is complete  Multan is ready to host 3 #PSL5 matches 😇😇 #PSL5 https://t.co/EH78tNWBxX",sports
