Date,US dollar (USD),Euro (EUR),Japanese yen (JPY),Pound sterling (GBP),Canadian dollar (CAD),Swiss franc (CHF),Indian rupee (INR),Chinese renmimbi (CNY),Turkish lira (TRY),Saudi riyal (SAR),Indonesian rupiah (IDR),UAE dirham (AED),Thai baht THB),Vietnamese dong (VND),Egyptian pound (EGP),Korean won (KRW),Russian ruble (RUB),South African rand (ZAR),Australian dollar (AUD)
1979-01-31,233.7,144.84,45160.33,117.44,267.1,379.32,1840.82,0.0,0.0,745.2,139739.28,856.14,4511.27,0.0,0.0,108235.82,0.0,194.53,197.17
1979-02-28,251.3,154.64,50209.08,124.19,295.5,413.61,2011.68,0.0,0.0,827.84,154683.13,946.62,4985.7,0.0,0.0,119929.27,0.0,209.36,219.63
1979-03-30,240.1,148.04,50274.29,116.22,278.16,406.2,1940.16,0.0,0.0,796.73,148844.15,910.39,4812.88,0.0,0.0,116123.63,0.0,202.37,214.55
1979-04-30,245.3,152.76,54144.57,118.82,278.53,420.01,2013.1,0.0,0.0,819.39,152453.63,930.21,4890.99,0.0,0.0,117423.25,0.0,206.91,221.12
1979-05-31,274.6,172.0,61057.09,132.69,321.62,478.01,2253.41,0.0,0.0,933.26,171656.12,1048.41,5560.75,0.0,0.0,133889.58,0.0,233.65,250.72
1979-06-29,277.5,169.03,60161.4,127.29,322.55,457.71,2190.55,0.0,0.0,923.02,166854.38,1049.81,5477.29,0.0,0.0,133065.59,0.0,232.34,245.46
1979-07-31,296.45,179.68,63972.92,131.87,345.15,490.63,2354.14,0.0,0.0,1023.3,189816.97,1155.98,6147.7,0.0,0.0,145048.8,0.0,248.8,262.79
1979-08-31,315.1,190.38,69957.47,139.89,370.38,526.44,2527.65,0.0,0.0,1052.18,196887.96,1188.99,6424.52,0.0,0.0,153643.94,0.0,265.44,281.59
1979-09-28,397.25,233.23,89088.49,180.36,460.72,616.45,3190.26,0.0,0.0,1306.81,242994.79,1474.44,7894.94,0.0,0.0,191720.57,0.0,327.15,351.67
1979-10-31,382.0,231.45,90261.12,184.01,449.29,631.0,3142.6,0.0,0.0,1298.59,239598.91,1455.88,7808.0,0.0,0.0,183783.85,0.0,315.5,346.87
1979-11-30,415.65,244.87,104134.1,188.97,488.14,667.2,3310.29,0.0,0.0,1392.25,258912.66,1532.61,8260.54,0.0,0.0,201557.69,0.0,345.69,381.35
1979-12-31,512.0,299.12,125630.27,230.63,611.81,835.57,4189.64,0.0,0.0,1749.03,324101.29,2055.87,10645.23,0.0,0.0,253615.89,0.0,434.07,474.31
1980-01-31,653.0,385.01,159889.73,288.11,774.1,1094.91,5329.61,0.0,0.0,2266.46,421828.9,2490.45,13763.78,0.0,0.0,387525.23,0.0,546.13,603.75
1980-02-29,637.0,381.48,161055.96,280.25,732.64,1089.66,5138.08,0.0,0.0,2151.17,400528.15,2393.31,13036.52,0.0,0.0,371647.87,0.0,516.81,583.69
1980-03-31,494.5,321.56,125800.01,228.51,599.47,931.87,4155.35,0.0,0.0,1683.53,316964.84,1890.49,10312.81,0.0,0.0,294925.42,0.0,407.51,465.18
1980-04-30,518.0,317.27,124139.12,229.36,616.1,865.53,4155.21,0.0,0.0,1756.34,329451.39,1963.24,10712.74,0.0,0.0,306587.71,0.0,415.12,465.18
1980-05-30,535.5,323.09,118403.69,228.36,615.36,880.38,4152.26,0.0,0.0,1722.24,323825.58,1923.92,10526.03,0.0,0.0,316820.59,0.0,416.19,463.64
1980-06-30,653.5,392.72,145558.85,277.32,762.44,1078.86,5150.43,0.0,0.0,2204.12,414677.55,2451.52,13466.47,0.0,0.0,399487.41,0.0,509.77,573.38
1980-07-31,614.25,372.37,140586.52,262.16,718.1,1019.45,4813.23,0.0,0.0,2094.29,394486.26,2329.04,12792.58,0.0,0.0,378648.53,0.0,471.48,537.02
1980-08-29,631.25,386.52,138824.34,263.41,733.26,1045.02,4903.62,0.0,0.0,2078.4,391180.5,2308.45,12745.4,0.0,0.0,390549.07,0.0,479.8,543.79
1980-09-30,666.75,412.83,141296.4,279.27,783.94,1107.64,5211.3,0.0,0.0,2225.38,419188.68,2472.34,13638.53,0.0,0.0,418750.0,0.0,504.78,572.06
1980-10-31,629.0,404.91,134300.04,258.16,747.98,1088.5,4911.2,0.0,0.0,2111.73,398885.45,2357.1,12999.3,0.0,0.0,414417.51,0.0,477.16,542.16
1980-11-28,619.75,406.73,134552.92,262.83,738.66,1081.96,4871.92,0.0,0.0,2061.12,385638.38,2269.34,12677.75,0.0,0.0,409443.86,0.0,466.59,533.86
1980-12-31,589.75,392.41,119823.1,246.65,703.65,1047.84,4620.33,0.0,0.0,1960.07,367506.77,2149.91,12026.69,0.0,0.0,389010.82,0.0,439.1,499.39
1981-01-30,506.5,363.31,104952.0,213.98,605.7,979.84,4123.21,0.0,0.0,1700.24,322681.85,1897.5,10623.84,0.0,0.0,337842.73,0.0,385.61,435.67
