Disclosure Date,Project Number,Project Name,Project URL,Country,IFC Country Code,IFC Region,Business Line,Estimated Total Budget ($),Department,Status,IFC Approval Date,Projected Start Date,WB Country Code,As of Date
"Oct 04, 2022",606634,Togo Affordable Housing,https://disclosures.ifc.org/project-detail/AS/606634/togo-affordable-housing,Togo,TOG,Africa,Transaction Advisory,1600000,,Active,"Feb 24, 2022","Feb 28, 2022",TG,"October 11, 2022 02:11 AM"
"Oct 04, 2022",606545,South Pacific Oil Limited CFS,https://disclosures.ifc.org/project-detail/AS/606545/south-pacific-oil-limited-cfs,Solomon Islands,SLI,East Asia and the Pacific,Transaction Advisory,123377,,Active,"Dec 17, 2021","Oct 23, 2021",SB,"October 11, 2022 02:11 AM"
"Sep 27, 2022",606877,ASA Hospital,https://disclosures.ifc.org/project-detail/AS/606877/asa-hospital,Bosnia and Herzegovina,BIH,Europe,"Manufacturing, Agribusiness & Services",20000,,Active,"Feb 23, 2022","Feb 21, 2022",BA,"October 11, 2022 02:11 AM"
"Sep 19, 2022",606892,Ahli Microfinance Company Iraq Microfinance Market Overview ,https://disclosures.ifc.org/project-detail/AS/606892/ahli-microfinance-company-iraq-microfinance-market-overview-,Iraq,IRQ,Middle East,Financial Institutions Group,20000,,Active,"Apr 06, 2022","May 01, 2022",IQ,"October 11, 2022 02:11 AM"
"Sep 16, 2022",606616,Bina Harbour Fisheries PPP,https://disclosures.ifc.org/project-detail/AS/606616/bina-harbour-fisheries-ppp,Solomon Islands,SLI,East Asia and the Pacific,Transaction Advisory,1041581,,Active,"Dec 21, 2021","Jan 20, 2022",SB,"October 11, 2022 02:11 AM"
"Sep 16, 2022",607140,Ho Chi Minh City Waste Treatment Facilities,https://disclosures.ifc.org/project-detail/AS/607140/ho-chi-minh-city-waste-treatment-facilities,Vietnam,VNM,East Asia and the Pacific,Transaction Advisory,250353,,Active,"Jun 01, 2022","May 31, 2022",VN,"October 11, 2022 02:11 AM"
"Sep 16, 2022",605723,Bhutan Agri. High Value Supply-Chains,https://disclosures.ifc.org/project-detail/AS/605723/bhutan-agri--high-value-supply-chains,Bhutan,BHU,South Asia,"Manufacturing, Agribusiness & Services",200000,,Active,"Aug 26, 2021","Jul 01, 2021",BT,"October 11, 2022 02:11 AM"
"Sep 08, 2022",607034,Equity DRC SLGP,https://disclosures.ifc.org/project-detail/AS/607034/equity-drc-slgp,"Congo, Democratic Republic of",ZAI,Africa,Financial Institutions Group,80000,,Active,"Jun 06, 2022","Jul 01, 2022",ZR,"October 11, 2022 02:11 AM"
"Sep 08, 2022",606283,TZ SME Agency Client Prep,https://disclosures.ifc.org/project-detail/AS/606283/tz-sme-agency-client-prep,Tanzania,TAN,Africa,Other,180000,,Active,"Mar 02, 2022","Nov 15, 2021",,"October 11, 2022 02:11 AM"
"Sep 06, 2022",606647,Kifiya Financial Technology,https://disclosures.ifc.org/project-detail/AS/606647/kifiya-financial-technology,Ethiopia,ETH,Africa,Financial Institutions Group,500000,,Active,"Aug 30, 2022","Jul 01, 2022",ET,"October 11, 2022 02:11 AM"
"Sep 06, 2022",606647,Kifiya Financial Technology,https://disclosures.ifc.org/project-detail/AS/606647/kifiya-financial-technology,Ethiopia,ETH,Africa,Financial Institutions Group,500000,,Active,"Aug 30, 2022","Jul 01, 2022",ET,"October 11, 2022 02:11 AM"
"Sep 01, 2022",607020,Orange Bank Africa Digital MSME Financing,https://disclosures.ifc.org/project-detail/AS/607020/orange-bank-africa-digital-msme-financing,Cote D'Ivoire,IVC,Africa,Financial Institutions Group,379349,,Active,"Apr 20, 2022","Mar 08, 2022",CI,"October 11, 2022 02:11 AM"
"Aug 30, 2022",606246,Vitas Iraq,https://disclosures.ifc.org/project-detail/AS/606246/vitas-iraq,Iraq,IRQ,Middle East,Financial Institutions Group,220000,,Active,"Jun 14, 2021","Jul 01, 2021",IQ,"October 11, 2022 02:11 AM"
"Aug 30, 2022",605314,DFS - Palpay Palestine,https://disclosures.ifc.org/project-detail/AS/605314/dfs---palpay-palestine,West Bank and Gaza,XOT,Middle East,Financial Institutions Group,200000,,Active,"May 29, 2020","Aug 05, 2020",GZ,"October 11, 2022 02:11 AM"
"Aug 30, 2022",605118,Enhancing Women Economic Participation in Egypt Project,https://disclosures.ifc.org/project-detail/AS/605118/enhancing-women-economic-participation-in-egypt-project,"Egypt, Arab Republic of",EGT,Africa,Other,625000,,Active,"Mar 30, 2021","Mar 01, 2021",EG,"October 11, 2022 02:11 AM"
"Aug 30, 2022",605391,Increasing Egypt Accessibility to Regional and Global Markets,https://disclosures.ifc.org/project-detail/AS/605391/increasing-egypt-accessibility-to-regional-and-global-markets,"Egypt, Arab Republic of",EGT,Africa,Other,1669975,,Active,"Feb 01, 2021","Oct 01, 2020",EG,"October 11, 2022 02:11 AM"
"Aug 30, 2022",606463,Djibouti Affordable Housing,https://disclosures.ifc.org/project-detail/AS/606463/djibouti-affordable-housing,Djibouti,DJI,Africa,Transaction Advisory,1792308,,Active,"Jun 13, 2022","Jul 01, 2022",,"October 11, 2022 02:11 AM"
"Aug 22, 2022",605209,Morocco COVID reponse for NPL and Preparation of DARP,https://disclosures.ifc.org/project-detail/AS/605209/morocco-covid-reponse-for-npl-and-preparation-of-darp,Morocco,MYC,Africa,Other,968174,,Active,"Jun 30, 2020","Jul 01, 2020",MA,"October 11, 2022 02:11 AM"
"Aug 22, 2022",606243,Revamping BAM Public Credit Registry,https://disclosures.ifc.org/project-detail/AS/606243/revamping-bam-public-credit-registry,Morocco,MYC,Africa,Financial Institutions Group,204880,,Active,"Jun 22, 2021","Jul 01, 2021",MA,"October 11, 2022 02:11 AM"
"Aug 17, 2022",605918,Karachi District South Bulk Water PPP,https://disclosures.ifc.org/project-detail/AS/605918/karachi-district-south-bulk-water-ppp,Pakistan,PAK,Middle East,Transaction Advisory,1797670,,Active,"Dec 24, 2021","Feb 01, 2022",PK,"October 11, 2022 02:11 AM"
"Aug 16, 2022",604788,Sourcing2Equal Kenya,https://disclosures.ifc.org/project-detail/AS/604788/sourcing2equal-kenya,Kenya,KEN,Africa,"Environment, Social and Governance",783232,,Active,"Aug 24, 2021","Aug 15, 2021",KE,"October 11, 2022 02:11 AM"
"Aug 16, 2022",606416,Rwanda Legislative Reforms for Womens Economic Inclusion Advisory,https://disclosures.ifc.org/project-detail/AS/606416/rwanda-legislative-reforms-for-womens-economic-inclusion-advisory,Rwanda,RWA,Africa,Other,500000,,Active,"Jan 13, 2022","Nov 20, 2021",RW,"October 11, 2022 02:11 AM"
"Aug 16, 2022",605824,Malawi Credit Reporting Strengthening Project II,https://disclosures.ifc.org/project-detail/AS/605824/malawi-credit-reporting-strengthening-project-ii,Malawi,MAL,Africa,Financial Institutions Group,450000,,Active,"Aug 27, 2021","Sep 01, 2021",MW,"October 11, 2022 02:11 AM"
"Aug 16, 2022",605424,MTN SOUTH AFRICA DFS,https://disclosures.ifc.org/project-detail/AS/605424/mtn-south-africa-dfs,South Africa,SOU,Africa,Financial Institutions Group,2200000,,Active,"Mar 01, 2021","Apr 28, 2021",ZA,"October 11, 2022 02:11 AM"
"Aug 15, 2022",606780,Rune Serbia Assessment,https://disclosures.ifc.org/project-detail/AS/606780/rune-serbia-assessment,Serbia,SRB,Europe,Infrastructure,150000,,Active,"Jan 03, 2022","Dec 15, 2021",YF,"October 11, 2022 02:11 AM"
"Aug 09, 2022",606467,"Strategic Advisory to Equitas SFB on Gender, Inclusion and Climate ",https://disclosures.ifc.org/project-detail/AS/606467/strategic-advisory-to-equitas-sfb-on-gender-inclusion-and-climate-,India,IND,South Asia,Financial Institutions Group,357570,,Active,"Jul 22, 2021","Jul 15, 2021",IN,"October 11, 2022 02:11 AM"
"Aug 09, 2022",605653,Peru Schools Private Initiatives LM,https://disclosures.ifc.org/project-detail/AS/605653/peru-schools-private-initiatives-lm,Peru,PER,Latin America and the Caribbean,Transaction Advisory,1115260,,Active,"Mar 18, 2021","Mar 26, 2021",PE,"October 11, 2022 02:11 AM"
"Aug 09, 2022",605980,Gender Flag Advisory Program,https://disclosures.ifc.org/project-detail/AS/605980/gender-flag-advisory-program,China,CHA,East Asia and the Pacific,"Environment, Social and Governance",48110,,Active,"Jan 27, 2021","Jan 31, 2021",CN,"October 11, 2022 02:11 AM"
"Aug 09, 2022",605571,Cucuta Metro Area Wastewater Treatment Plants,https://disclosures.ifc.org/project-detail/AS/605571/cucuta-metro-area-wastewater-treatment-plants,Colombia,CLM,Latin America and the Caribbean,Transaction Advisory,1929601,,Active,"Mar 30, 2021","May 29, 2021",CO,"October 11, 2022 02:11 AM"
"Aug 09, 2022",606380,Peru Schools Private Initiatives COMAS,https://disclosures.ifc.org/project-detail/AS/606380/peru-schools-private-initiatives-comas,Peru,PER,Latin America and the Caribbean,Transaction Advisory,453031,,Active,"Aug 05, 2021","Apr 01, 2022",PE,"October 11, 2022 02:11 AM"
"Aug 09, 2022",606379,Peru Schools Private Initiatives ATE,https://disclosures.ifc.org/project-detail/AS/606379/peru-schools-private-initiatives-ate,Peru,PER,Latin America and the Caribbean,Transaction Advisory,453031,,Active,"Aug 05, 2021","Mar 01, 2022",PE,"October 11, 2022 02:11 AM"
"Aug 09, 2022",606381,Peru Schools Private Initiatives VMT,https://disclosures.ifc.org/project-detail/AS/606381/peru-schools-private-initiatives-vmt,Peru,PER,Latin America and the Caribbean,Transaction Advisory,453031,,Active,"Aug 05, 2021","Oct 31, 2021",PE,"October 11, 2022 02:11 AM"
"Jul 15, 2022",605365,GAC Technical Assistance and Advisory Services,https://disclosures.ifc.org/project-detail/AS/605365/gac-technical-assistance-and-advisory-services,Guinea,GUI,Africa,Infrastructure,3930000,,Active,"Jun 30, 2020","Jul 16, 2020",GN,"October 11, 2022 02:11 AM"
"Jul 13, 2022",606667,Circular economy and low carbon solutions for Indorama Eleme Petrochemicals Ltd,https://disclosures.ifc.org/project-detail/AS/606667/circular-economy-and-low-carbon-solutions-for-indorama-eleme-petrochemicals-ltd,Nigeria,NIR,Africa,"Manufacturing, Agribusiness & Services",400000,,Active,"Jun 10, 2022","Jun 01, 2022",NG,"October 11, 2022 02:11 AM"
"Jul 13, 2022",605717,Guinea SME linkages 2,https://disclosures.ifc.org/project-detail/AS/605717/guinea-sme-linkages-2,Guinea,GUI,Africa,Other,800000,,Active,"Nov 23, 2021","Nov 23, 2021",GN,"October 11, 2022 02:11 AM"
"Jun 30, 2022",605298,"MAchine Learning ENvironment (Social, Governance and Impact) Analyst",https://disclosures.ifc.org/project-detail/AS/605298/machine-learning-environment-(social-governance-and-impact)-analyst,World Region,WLD,Global,"Environment, Social and Governance",2988715,,Active,"May 09, 2021","Jun 30, 2021",99,"October 11, 2022 02:11 AM"
"Jun 12, 2022",607160,Guolong Client Upstream Support ,https://disclosures.ifc.org/project-detail/AS/607160/guolong-client-upstream-support-,China,CHA,East Asia and the Pacific,Infrastructure,244200,,Active,"Jun 08, 2022","Jun 01, 2022",CN,"October 11, 2022 02:11 AM"
"Jun 10, 2022",606502,King Beverage AS- Sierra Leone ,https://disclosures.ifc.org/project-detail/AS/606502/king-beverage-as--sierra-leone-,Sierra Leone,SIL,Africa,"Manufacturing, Agribusiness & Services",880000,,Active,,"Apr 30, 2022",SL,"October 11, 2022 02:11 AM"
"Jun 10, 2022",606501,CIDT AS,https://disclosures.ifc.org/project-detail/AS/606501/cidt-as,Cote D'Ivoire,IVC,Africa,"Manufacturing, Agribusiness & Services",2594417,,Active,"Jun 10, 2022","Jul 01, 2022",CI,"October 11, 2022 02:11 AM"
"May 27, 2022",604222,MALI IC4- Economy Wide,https://disclosures.ifc.org/project-detail/AS/604222/mali-ic4--economy-wide,Mali,MLI,Africa,Other,1500000,,Active,"Sep 17, 2021","Sep 07, 2021",ML,"October 11, 2022 02:11 AM"
"May 25, 2022",606823,Aurangabad Superspecialty Hospital,https://disclosures.ifc.org/project-detail/AS/606823/aurangabad-superspecialty-hospital,India,IND,South Asia,Transaction Advisory,225500,,Active,"Mar 23, 2022","Mar 01, 2022",IN,"October 11, 2022 02:11 AM"
"May 25, 2022",606822,Latur Superspecialty Hospital,https://disclosures.ifc.org/project-detail/AS/606822/latur-superspecialty-hospital,India,IND,South Asia,Transaction Advisory,225500,,Active,"Mar 23, 2022","Mar 01, 2022",IN,"October 11, 2022 02:11 AM"
"May 25, 2022",606799,Nagpur Superspecialty Hospital,https://disclosures.ifc.org/project-detail/AS/606799/nagpur-superspecialty-hospital,India,IND,South Asia,Transaction Advisory,900000,,Active,"Feb 15, 2022","Apr 01, 2022",IN,"October 11, 2022 02:11 AM"
"May 24, 2022",606506,Elemental Holding – Promethean project support,https://disclosures.ifc.org/project-detail/AS/606506/elemental-holding-–-promethean-project-support,Poland,POL,Europe,Infrastructure,290000,,Active,"Sep 04, 2021","Aug 25, 2021",PL,"October 11, 2022 02:11 AM"
